BANK,DATE OF ISSUE,DATE RECEIVED,Date Reviewed,CONTRACT NO ,ADVISING REF ,LC NO,Country,Request for amendments Date,LC Clean date,ELITE PIC,,CSR PIC,,F/D ,FD NO,F/D Create Date,Client Name,LC Start Date,LC Expiry Date,Shipment Date
SCB,15-May,15-May,17-May,07/3861,957117591091,18017LU00044,Bangladesh,N.A,17-May,THINHA,OK,SURYA,OK,OK,201490,17-May,KRISHNA NEPAL TRADING PVT. LTD,12-May-17,21-Jul-17,30-Jun-17
SCB,15-May,15-May,17-May,07/3860,957117592161,17DC01USD15327,Nepal,17-May,26-May,THINHA,OK,SURYA,OK,OK,201959,29-May,LUCKY NEPAL CO. PVT. LTD.,31-Dec-99,21-Jul-17,30-Jun-17
SCB,15-May,15-May,16-May,08/10932,957117591607,174117020191,Bangladesh,16-May,23-May,THINHA,OK,ANURAG,OK,OK,201639,23-May,Kuliarchar Packaging Industries Ltd,14-May-17,27-Jul-17,6-Jul-17
HSBC,12-May,16-May,18-May,03/0899,SGHSBC7E15164822,053417IML000021,India,N.A,18-May,THINHA,OK,GAURAV,OK,OK,201565,18-May,VIJAYA POLYMERS INDIA PRIVATE LIMIT,12-May-17,23-Jul-17,2-Jul-17
HSBC,13-May,16-May,18-May,02/5565,SGHSBC7E15165739,0067FLC170004,India,18-May,24-May,THINHA,OK,SANJEEV,OK,OK,201619,24-May,OHRI GLOBPPACK,12-May-17,21-Jul-17,30-Jun-17
SCB,16-May,16-May,18-May,07/3859,957117593311,17DC14USD00109,Nepal,18-May,27-Jun,THINHA,OK,SURYA,OK,,203153,27-Jun,Super Polymer Industries,8-May-17,21-Aug-17,31-Jul-17
SCB,16-May,16-May,18-May,07/3865,957117594285,HBLIFX14731521,Nepal,19-May,7-Jun,THINHA,OK,SURYA,OK,,202328,7-Jun,Yeti Plastic Industries Pvt. Ltd,16-May-17,21-Jul-17,30-Jun-17
SCB,16-May,16-May,18-May,07/3871,957117593197,L608617134,Nepal,18-May,23-May,THINHA,OK,SURYA,OK,OK,201618,23-May,SIDDHI GANESH PLASTIC INDUSTRIES,14-May-17,21-Jul-17,30-Jun-17
SCB,16-May,16-May,18-May,07/3854,957117593446,LC01113873/74,Nepal,18-May,23-May,THINHA,OK,SURYA,OK,OK,201726,24-May,RISING TRADING COMPANY (P) LTD,15-May-17,21-Jul-17,30-Jun-17
HSBC,16-May,16-May,18-May,03/0900,SGHSBC7E16168145,0999817IM0039362,India,N.A,18-May,THINHA,OK,GAURAV,OK,OK,201550,18-May,KKALPANA INDUSTRIES (INDIA) LIMITED,15-May-17,21-Jul-17,30-Jun-17
HSBC,16-May,17-May,19-May,05/2184,SGHSBC7E17170810,2342FLC015717,India,23-May,29-May,THINHA,OK,GAURAV,OK,OK,202015,31-May,Varssha Poly Products,16-May-17,21-Jul-17,30-Jun-17
HSBC,16-May,17-May,19-May,06/233,SGHSBC7E17170576,0174MDC170004190,India,23-May,29-May,THINHA,OK,VIPIN,OK,OK,202011,31-May,MG Polyplast Industries Pvt Ltd,16-May-17,14-Jul-17,23-Jun-17
HSBC,16-May,17-May,19-May,03/0906,SGHSBC7E16169405,7456MDC170004175,India,22-May,25-May,THINHA,OK,GAURAV,OK,OK,202072,6/1/17,SRIJA POLYMERS,15-May-17,21-Jul-17,30-Jun-17
BTMU,16-May,17-May,22-May,08/10921,,0000021617010183,Bangladesh,22-May,25-May,THINHA,OK,ANURAG,OK,OK,201895,26-May,Brac Printing Pack,16-May-17,26-Jul-17,5-Jul-17
BTMU,16-May,17-May,22-May,08/10905,,0000021617010182,Bangladesh,22-May,25-May,THINHA,OK,ANURAG,OK,OK,201892,26-May,Brac Printing Pack,16-May-17,21-Jul-17,30-Jun-17
HSBC,17-May,17-May,22-May,06/245,SGHSBC7E18173671,1165FLC170310,India,23-May,7-Jun,THINHA,OK,VIPIN,OK,,202778,7-Jun,Ramcharan Company Pvt Ltd,17-May-17,18-Jul-17,27-Jul-17
SCB,17-May,17-May,20-May,08/10923,957117595943,1341/17/02/0035,Bangladesh,22-May,29-May,THINHA,OK,ANURAG,OK,OK,202017,31-May,SAM PACK LIMITED,16-May-17,10-Aug-17,20-Jul-17
HSBC,17-May,17-May,19-May,01/8304,SGHSBC7E17172022,0505017IM0000392,India,22-May,26-May,THINHA,OK,SANJEEV,OK,OK,201983,29-May,SHREE SUMANGAL INDIA PRIVATE LIMITE,15-May-17,21-Jul-17,30-Jun-17
HSBC,17-May,17-May,19-May,01/8309,SGHSBC7E17172034,IMLC/2017/520156,India,19-May,22-May,THINHA,OK,SANJEEV,OK,OK,201636,23-May,Technova Imaging System Pvt. Ltd.,16-May-17,21-Jul-17,30-Jun-17
HSBC,17-May,17-May,19-May,01/8303,SGHSBC7E17172002,0505017IM0000393,India,19-May,29-May,THINHA,OK,SANJEEV,OK,OK,201982,29-May,SHREE SUMANGAL INDIA PRIVATE LIMITE,15-May-17,21-Jul-17,30-Jun-17
HSBC,17-May,17-May,19-May,06/234,SGHSBC7E17171771,009517IML000025,India,19-May,25-May,THINHA,OK,SANJEEV,OK,OK,201890,26-May,Power Chemplast Pvt Ltd,16-May-17,17-Jul-17,26-Jun-17
HSBC,17-May,17-May,19-May,06/249,SGHSBC7E17171694,30930NI00003917,India,19-May,26-May,THINHA,OK,SANJEEV,OK,OK,202005,29-May,AVON METERS PRIVATE LIMITED,16-May-17,18-Jul-17,27-Jun-17
HSBC,17-May,17-May,19-May,01/8317,SGHSBC7E17172395,001LM01171370006,India,19-May,29-May,THINHA,OK,SANJEEV,OK,OK,202071,1-Jun,ASPIRE INCORPORATION,17-May-17,21-Jul-17,30-Jun-17
SCB,17-May,17-May,19-May,07/3876,957117594640,003ILUF171350001,Nepal,19-May,23-May,THINHA,OK,SURYA,OK,OK,201769,24-May,JAGDISH PRASAD RATHI,15-May-17,21-Jul-17,30-Jun-17
SCB,17-May,17-May,19-May,11/5517,957117594695,DCU1700513751,Sri Lanka,N.A,24-May,THINHA,OK,KUMAR,OK,OK,201746,24-May,Polypackaging Industries (PVT) LTD.,16-May-17,11-Sep-17,21-Aug-17
HSBC,17-May,17-May,22-May,06/246,SGHSBC7E18173656,1165FLC170311,India,N.A,22-May,THINHA,OK,VIPIN,OK,OK ,201641,23-May,Ramcharan Company Pvt Ltd,17-May-17,18-Jul-17,27-Jun-17
HSBC,17-May,17-May,22-May,06/240,SGHSBC7E18173517,0174MDC170004235,India,23-May,29-May,THINHA,OK,VIPIN,OK,OK,202073,1-Jun,MG Polyplast Industries Pvt Ltd,17-May-17,17-Jul-17,26-Jun-17
SCB,15-May,18-May,22-May,07/3875,957117596997,17DC05USD07335,Nepal,22-May,23-May,THINHA,OK,SURYA,OK,OK,201659,24-May,Pashupati International Trade Cente,15-May-17,21-Jul-17,30-Jun-17
SCB,16-May,18-May,22-May,11/5522,957117596522,LCSFCBU1700157,Sri Lanka,22-May,28-May,THINHA,OK,NAVDEEP,OK,OK,202152,28-May,Poly Creations ( PVT ) Ltd.,16-May-17,21-Jul-17,30-Jun-17
SCB,16-May,18-May,22-May,07/3870,957117596684,L16907421260,Nepal,22-May,30-May,THINHA,OK,SURYA,OK,OK,201768,24-May,BRIHASPATI MOULDING INDUSTRIES,16-May-17,21-Jul-17,30-Jun-17
BTMU,17-May,18-May,22-May,03/0895,,0027817FLU000017,India,N.A,23-May,THINHA,OK,GAURAV,OK,OK,201637,23-May,PEKON ELECTRONICS LTD.,17-May-17,21-Jul-17,30-Jun-17
SCB,15-May,19-May,23-May,01/8316,957117598236,00031718FLU0026,India,23-May,25-May,THINHA,OK,SANJEEV,OK,OK,201961,29-May,KOTHARI PRODUCTS LIMITED,15-May-17,15-Jul-17,30-Jun-17
SCB,17-May,19-May,23-May,02/5570,957117597166,0207MDC170004232,India,N.A,23-May,THINHA,OK,SANJEEV,OK,OK,201727,23-May,SRI RAM POLYMERS,17-May-17,21-Jul-17,30-Jun-17
SCB,18-May,19-May,24-May,07/3866,957117599342,IUDSF6217USD0268,Nepal,24-May,4-Jul,THINHA,OK,SURYA,OK,,203585,5-Jul,OM GANPATI INDUSTRIES PVT. LTD.,18-May-17,14-Aug-17,24-Jul-17
SCB,18-May,19-May,23-May,08/10925,957117598904,073117020039,Bangladesh,23-May,25-May,THINHA,OK,ANURAG,OK,OK,201980,29-May,JASS ACCESSO RIES (BO) LTD,18-May-17,26-Jul-17,5-Jul-17
HSBC,18-May,19-May,23-May,05/2181,SGHSBC7E19177031,DPCMDR321811,India,N.A,23-May,THINHA,OK,GAURAV,OK,OK,201728,23-May,Mainetti (India) PVT LTD,18-May-17,21-Oct-17,30-Sep-17
HSBC,16-May,22-May,24-May,06/240,SGHSBC7E22180267,0174MDC170004187,India,24-May,29-May,THINHA,OK,VIPIN,OK,OK,202012,31-May,MG Polyplast Industries Pvt Ltd,16-May-17,14-Jul-17,23-Jun-17
CITI,17-May,22-May,24-May,08/10940,5918625128,0000019517020032,Bangladesh,24-May,9-Jun,THINHA,OK,ANURAG,OK,OK,202399,9-Jun,THE PLASTIC MAN LTD.,17-May-17,3-Aug-17,13-Jul-17
CITI,17-May,22-May,24-May,08/10939,5917625128,0000019517020033,Bangladesh,"24-May
11-Jul",30-Jun,THINHA,OK,ANURAG,OK,,203505,30-Jun,THE PLASTIC MAN LTD.,17-May-17,30-Aug-17,9-Aug-17
HSBC,17-May,22-May,24-May,01/8299,SGHSBC7E19177981,0505417IM0000306,India,24-May,12-Jun,THINHA,OK,SANJEEV,OK,,202564,13-Jun,AKSHAR IMPEX,17-May-17,21-Aug-17,31-Jul-17
SCB,17-May,22-May,24-May,13/1379,957117599271,9917IM0200103,Nepal,24-May,29-May,THINHA,OK,NAVDEEP,OK,OK,201964,30-May,ROBIN POLYMERS PVT. LTD.,17-May-17,21-Jul-17,30-Jun-17
HSBC,17-May,22-May,24-May,05/2182,SGHSBC7E19179229,7018817IM0000053,India,24-May,26-May,THINHA,OK,GAURAV,OK,OK,201963,30-May,Kvn Impex Pvt.Ltd.,17-May-17,27-Jul-17,6-Jul-17
HSBC,17-May,22-May,24-May,05/2188,SGHSBC7E19177739,7018817IM0000052,India,24-May,25-May,THINHA,OK,GAURAV,OK,OK,201886,26-May,Kvn Impex Pvt.Ltd.,17-May-17,28-Jul-17,7-Jul-17
HSBC,17-May,22-May,24-May,06/238,SGHSBC7E18175875,003LC01171360016,India,24-May,25-May,THINHA,OK,VIPIN ,OK,OK,201866,26-May,HOUSE OF PLASTICS,17-May-17,14-Jul-17,23-Jun-17
SCB,18-May,22-May,24-May,07/3853,957117599538,IUDSFA117USD0264,Nepal,26-May,13-Jun,JENY,OK,SURYA,OK,,203157,27-Jun,Vishal Plastocab Industries Pvt. LT,18-May-17,21-Sep-17,31-Aug-17
HSBC,18-May,22-May,24-May,06/237,SGHSBC7E19176842,DPCNDH280512,India,24-May,7-Jun,THINHA,OK,VIPIN ,OK,,202284,7-Jun,ESS N ESS AGENCIES PVT LTD,18-May-17,6-Aug-17,15-Jul-17
HSBC,19-May,22-May,23-May,13/1382,SGHSBC7E22180775,0312FLC6817,Nepal,24-May,5-Jun,THINHA,OK,NAVDEEP,OK,,202310,7-Jun,B.B.STYRO EXTRUSION PVT. LTD,19-May-17,31-Jul-17,10-Jul-17
HSBC,19-May,22-May,24-May,06/243,SGHSBC7E22180755,0143FLC-007-17,India,24-May,7-Jun,THINHA,OK,VIPIN,OK,,202283,7-Jun,COXWELL DOMES ENGINEERS PVT. LTD.,19-May-17,17-Jul-17,26-Jun-17
SCB,19-May,22-May,25-May,07/3880,957117599636,NBL1780024U032,Nepal,25-May,29-May,THINHA,OK,SURYA,OK,OK,202014,31-May,PIYA POLYBAG INDUSTRIES,19-May-17,21-Jul-17,30-Jun-17
HSBC,12-May,23-May,25-May,02/5566,SGHSBC7E23185449,49580NI00018817,India,25-May,30-May,THINHA,OK,SANJEEV,OK,OK,202066,31-May,Hazel Mercantile Limited,12-May-17,21-Jul-17,30-Jun-17
SCB,17-May,23-May,25-May,07/3867,957117601936,17DC01USD15375,Nepal,26-May,27-Jun,THINHA,OK,SURYA,OK,OK,203151,27-Jun,NEPAL PLASTICS PVT. LTD,17-May-17,21-Aug-17,31-Jul-17
SCB,17-May,23-May,26-May,06/242,957117597317,827-01-0010721,India,N.A,26-May,THINHA,OK,VIPIN,OK,OK,201783,26-May,RAVAGO SHAH POLYMERS PVT LTD,17-May-17,17-Jul-17,26-Jun-17
HSBC,18-May,23-May,25-May,11/5524,SGHSBC7E19176796,035IMLCU17000142,Sri Lanka,25-May,29-May,THINHA,OK,NAVDEEP,OK,OK,202013,31-May,Sachintha Enterprises,18-May-17,21-Jul-17,30-Jun-17
HSBC,19-May,23-May,25-May,11/5523,SGHSBC7E22180823,DCU1702413817,Sri Lanka,26-May,9-Jun,THINHA,OK,NAVDEEP,OK,,202420,9-Jun,PETFORM (PVT) LTD.,19-May-17,21-Jul-17,30-Jun-17
HSBC,19-May,23-May,25-May,11/5528,SGHSBC7E23184421,DB4901LC1704872,Sri Lanka,25-May,31-May,JENY,OK,NAVDEEP,OK,OK,202623,,SRI LANKA UMBRELLA INDUSTRIES,19-May-17,21-Jul-17,30-Jun-17
SCB,20-May,23-May,24-May,01/8321,957117599921,001LM01171400013,India,N.A,24-May,THINHA,OK,SANJEEV,OK,OK,201722,24-May,AVH POLYCHEM PVT. LTD.,20-May-17,21-Jul-17,31-Jul-17
SCB,22-May,23-May,25-May,13/1375,957117602016,F01IMLU171350002,India,25-May,5-Jun,THINHA,OK,NAVDEEP,OK,OK,202157,5-Jun,GREEN INDIA POLYFOAMS PVT LTD,22-May-17,21-Jul-17,1-Jul-17
SCB,22-May,23-May,25-May,08/10926,957117602846,0000195017020023,Nepal,25-May,13-Jun,THINHA,OK,ANURAG,OK,,202829,16-Jun,Dipa Poly and Accessories,22-May-17,10-Aug-17,20-Jul-17
HSBC,22-May,23-May,1-Jun,06/257,SGHSBC7E23184111,0174MDC170004456,India,1-Jun,5-Jun,THINHA,OK,VIPIN,OK,OK,202156,5-Jun,MG Polyplast Industries Pvt Ltd,22-May-17,24-Jul-17,3-Jul-17
SCB,22-May,23-May,25-May,08/10922,957117602837,0000195017020022,Bangladesh,25-May,29-May,THINHA,OK,ANURAG,OK,OK,202025,30-May,Dipa Poly and Accessories,22-May-17,10-Aug-17,20-Jul-17
SCB,22-May,23-May,25-May,15/0063,957117601981,0559017IM0000009,India,29-May,30-May,THINHA,OK,SHEETAL,OK,OK,202035,1-Jun,Narmada Valley Rubbers Private Limi,22-May-17,21-Jul-17,30-Jun-17
SCB,22-May,23-May,25-May,13/1390,957117602178,015USD73740665U,Nepal,25-May,29-May,THINHA,OK,NAVDEEP,OK,OK,202031,31-May,"BALAJI COIR INDUSTRIES PVT.,LTD.",22-May-17,17-Aug-17,27-Jul-17
SCB,22-May,23-May,26-May,11/5526,957117602025,004D76217050056,Sri Lanka,N.A,26-May,THINHA,OK,NAVDEEP,OK,OK,201865,26-May,New Jeewa Inds. (Pvt) Ltd.,22-May-17,21-Jul-17,30-Jun-17
SCB,21-May,24-May,26-May,07/3878,957117603550,19517LU00020,Nepal,26-May,8-Jun,THINHA,OK,SURYA,OK,,204033,14-Jul,GAREEMA POLYMER INDUSTRIES,21-May-17,21-Sep-17,31-Aug-17
SCB,22-May,27-May,29-May,08/10941,957117603916,1336/17/02/0082,Bangladesh,29-May,15-Jun,THINHA,OK,ANURAG,OK,,202784,16-Jun,Neem Accessories Limited,22-May-17,24-Sep-17,3-Sep-17
HSBC,23-May,24-May,26-May,11/5533,SGHSBC7E24187075,052IMLCU17002150,Sri Lanka,N.A,26-May,THINHA,OK,NAVDEEP,OK,OK,202112,2-Jun,Gasic Polymers PVT ltd,23-May-17,21-Jul-17,30-Jun-17
SCB,23-May,24-May,26-May,11/5529,957117603499,DCU1700513827,Sri Lanka,N.A,26-May,THINHA,OK,NAVDEEP,OK,OK,201867,26-May,Polypackaging Industries (PVT) LTD.,23-May-17,21-Jul-17,30-Jun-17
SCB,24-May,25-May,29-May,07/3864,957117605442,2217IM0200051,Nepal,5-Jun,8-Jun,THINHA,OK,SURYA,OK,,202417,9-Jun,Dev International,24-May-17,26-Aug-17,5-Aug-17
SCB,24-May,25-May,29-May,02/5571,957117604997,TX3IMLU171320001,India,2-Jun,9-Jun,THINHA,OK,SANJEEV,OK,,202459,9-Jun,ENKAY POLYMERS,24-May-17,21-Aug-17,31-Jul-17
SCB,24-May,25-May,29-May,08/10946,957117605102,0000194717020067,Bangladesh,6-Jun,8-Jun,THINHA,OK,ANURAG,OK,,203489,9-Jun,FARIHA KNIT TEX LTD,24-May-17,5-Sep-17,15-Aug-17
HSBC,16-May,26-May,29-May,11/5520,SGHSBC7E26192523,0042002170011623,Sri Lanka,29-May,15-Jun,THINHA,OK,NAVDEEP,OK,,202827,16-Jun,PHOENIX INDUSTRIES LTD.,16-May-17,21-Aug-17,31-Jul-17
SCB,15-May,29-May,31-May,05/2183,957117595685,0505617IM0075286,India,2-Jun,5-Jun,THINHA,OK,GAURAV,OK,OK,202151,5-Jun,CARBONAIRE INDUSTRIES (MADRAS),15-May-17,20-Aug-17,31-Jul-17
SCB,18-May,29-May,31-May,07/3873,957117609144,EB0370FOU00115,Nepal,,22-Jun,THINHA,OK,SURYA,OK,,203152,27-Jun,MDA INTERNATIONAL,18-May-17,21-Sep-17,31-Aug-17
SCB,22-May,29-May,31-May,07/3877,957117608118,008ILUF171420001,Nepal,,14-Jul,THINHA,OK,SURYA,OK,OK,204034,14-Jul,SHRESTHA CONCERN PVT. LTD.,22-May-17,21-Sep-17,31-Aug-17
HSBC,25-May,29-May,29-May,06/239,SGHSBC7E26192815,003LC01171450006,India,,5-Jun,THINHA,OK,VIPIN,OK,OK,202158,5-Jun,KAPOOR SALES CORPORATION (REGD.),25-May-17,17-Jul-17,26-Jun-17
HSBC,25-May,29-May,30-May,01/8314,SGHSBC7E29195780,0505017IM0000433,India,N.A,30-May,THINHA,OK,SANJEEV,OK,OK,202022,31-May,SHREE SUMANGAL INDIA PRIVATE LIMITE,25-May-17,21-Jul-17,30-Jun-17
HSBC,26-May,29-May,31-May,02/5575,SGHSBC7E29196742,0040FLC170024,India,1-Jun,5-Jun,THINHA,OK,SANJEEV,OK,,202200,5-Jun,Radhika Exports Corp.,26-May-17,5-Aug-17,15-Jul-17
SCB,26-May,29-May,31-May,09/0307,957117607921,CPBDLC30,Bhutan,2-Jun,12-Jun,THINHA,OK,GAURAV,OK,,202665,13-Jun,DUNGSAM POLYMERS LIMITED,26-May-17,21-Aug-17,31-Jul-17
SCB,26-May,29-May,31-May,07/3884,957117609037,17ILC0416,Nepal,31-May,8-Jun,THINHA,OK,SURYA,OK,,202415,9-Jun,Shree Polythene & Plastic Udyog,26-May-17,24-Aug-17,3-Aug-17
HSBC,26-May,29-May,30-May,13/1392,SGHSBC7E29196570,004LC01171440012,India,N.A,30-May,THINHA,OK,NAVDEEP,OK,OK,202065,31-May,OCEAN IMPEX,26-May-17,21-Jul-17,30-Jun-17
HSBC,26-May,29-May,31-May,01/8328,SGHSBC7E29196397,OLC0017170004345,India,N.A,31-May,THINHA,OK,SANJEEV,OK,OK,202110,1-Jun,ANIKET POLYMERS PRIVATE LIMITED,26-May-17,21-Jul-17,30-Jun-17
BTMU,26-May,29-May,30-May,03/0907,,0027817FLU000019,India,N.A,30-May,THINHA,OK,GAURAV,OK,OK,202018,31-May,PEKON ELECTRONICS LTD.,26-May-17,4-Aug-17,14-Jul-17
SCB,28-May,29-May,31-May,07/3887,957117609117,17DC07USD09607,Nepal,31-May,2-Jun,THINHA,OK,SURYA,OK,OK,202159,2-Jun,Shivam Plastic Industries Pvt. Ltd.,28-May-17,21-Aug-17,30-Jul-17
SCB,28-May,29-May,30-May,07/3882,957117608092,17ILC0418,Nepal,N.A,30-May,THINHA,OK,SURYA,OK,OK,202019,31-May,Shiv Shakti Chemoplast Pvt. Ltd.,28-May-17,21-Jul-17,30-Jun-17
HSBC,29-May,30-May,1-Jun,13/1395,SGHSBC7E30198153,4335MDC170004682,India,1-Jun,13-Jun,THINHA,OK,NAVDEEP,OK,,202692,13-Jun,NARENDRA FLEXIPACK CO. PVT. LTD.,29-May-17,10-Aug-17,20-Jul-17
HSBC,29-May,30-May,1-Jun,03/0909,SGHSBC7E30198854,0999817IM0039401,India,1-Jun,19-Jun,THINHA,OK,GAURAV,OK,,202891,19-Jun,KKALPANA INDUSTRIES (INDIA) LIMITED,29-May-17,9-Aug-17,19-Jul-17
HSBC,29-May,30-May,31-May,06/254,SGHSBC7E30198045,1165FLC170347,India,N.A,31-May,THINHA,OK,VIPIN,OK,OK,202111,1-Jun,Ramcharan Company Pvt Ltd,29-May-17,21-Jul-17,30-Jun-17
SCB,29-May,30-May,1-Jun,05/2190,957117609947,LC/114/3461807,India,N.A,1-Jun,THINHA,OK,GAURAV,OK,OK,202050,1-Jun,ALAZU AGENCY,29-May-17,12-Aug-17,22-Jul-17
HSBC,30-May,30-May,31-May,11/5519,SGHSBC7E30199404,003IMLCU17001094,Sri Lanka,N.A,31-May,THINHA,OK,NAVDEEP,OK,OK,202049,1-Jun,SASIRI POLYSACKS (PVT) LTD.,30-May-17,21-Aug-17,31-Jul-17
