BANK,DATE OF ISSUE,CONTRACT NO ,LC NO,Country,ELITE PIC,CSR PIC
CITI,19-Jun,08/11048,0000168917060504,Bangladesh,JENY,ANURAG
SCB,15-Jun,08/11037,0000194717020072,Bangladesh,JENY,ANURAG
SCB,18-Jun,07/3911,012LCIFU170136,Nepal,JENY,SURYA
SCB,18-Jun,07/3917,IUDSF1517USD0338,Nepal,JENY,SURYA
SCB,19-Jun,08/11047,106717020048,Bangladesh,JENY,ANURAG
SCB,16-Jun,3/12,0095817FL0228179,India,JENY,GAURAV
SCB,19-Jun,08/11049,0000208617020019,Bangladesh,JENY,ANURAG
SCB,14-Jun,08/10981,162217020094,Bangladesh,JENY,ANURAG
SCB,14-Jun,08/10980,162217020093,Bangladesh,JENY,ANURAG
SCB,13-Jun,07/3919,17DC01USD15487,Nepal,JENY,SURYA
SCB,12-Jun,07/3906,007LCIFU170073,Nepal,JENY,SURYA
HSBC,16-Jun,06/271,5556602225,India,JENY,VIPIN
SCB,16-Jun,07/3920,17DC01USD15502,Nepal,JENY,SURYA
SCB,19-Jun,11/5566,013D76217060067,Sri Lanka,JENY,NAVDEEP
SCB,20-Jun,08/11044,133617020101,Bangladesh,JENY,ANURAG
SCB,20-Jun,11/5557,DB7024LC1705761,Sri Lanka,JENY,NAVDEEP
HSBC,19-Jun,06/270,30930NI00005017,India,JENY,VIPIN
HSBC,19-Jun,11/5565,DB5118LC1705656,Sri Lanka,JENY,NAVDEEP
HSBC,20-Jun,03/0921,0315FLC0717,India,JENY,GAURAV
HSBC,20-Jun,02/5595,49790NI00007917,India,JENY,SANJEEV
HSBC,15-Jun,01/8339,0393MLC00054618,India,JENY,SANJEEV
HSBC,19-Jun,13/1397,007LC01171570002,India,JENY,NAVDEEP
HSBC,20-Jun,02/5596,49790NI00007817,India,JENY,SANJEEV
HSBC,21-Jun,06/272,5557602225,India,JENY,VIPIN
HSBC,20-Jun,06/259,003LC01171640027,India,JENY,VIPIN
BTMU,19-Jun,08/11004,88217020070,Bangladesh,JENY,ANURAG
BTMU,18-Jun,08/11045,88517020233,Bangladesh,JENY,ANURAG
HSBC,20-Jun,11/5574,BD4901LC1705893,Sri Lanka,JENY,NAVDEEP
HSBC,21-Jun,03/0923,0999817IM0039466,India,JENY,GAURAV
HSBC,21-Jun,01/8360,OLC0023170004944,India,JENY,SANJEEV
HSBC,20-Jun,11/5534,DB4096LC1705862,Sri Lanka,JENY,NAVDEEP
SCB,22-Jun,07/3925,HBLIFX19731749,Nepal,JENY,SURYA
SCB,22-Jun,09/308,001IFIN171730001,Bhutan,JENY,GAURAV
HSBC,20-Jun,06/06499,DB4096LC1705859,Sri Lanka,JENY,VIPIN
SCB,19-Jun,08/11036,0000221717010599,Bangladesh,JENY,ANURAG
SCB,19-Jun,08/11039,0000221717010600,Bangladesh,JENY,ANURAG
SCB,22-Jun,11/5561,LCUFCBU1700196,Sri Lanka,JENY ,NAVDEEP
SCB,22-Jun,11/5573,400111732815,Sri Lanka,JENY,NAVDEEP
SCB,22-Jun,07/3926,17ILC0523,Nepal,JENY,SURYA
SCB,22-Jun,07/3921,HBLIFX09731744,Nepal,JENY,SURYA
SCB,6-Jun,08/10962,0000000117020109,Bangladesh,JENY,ANURAG
SCB,6-Jun,08/10963,0000000117020108,Bangladesh,JENY,ANURAG
SCB,21-Jun,07/3915,KTMI520370,Nepal,JENY,SURYA
SCB,23-Jun,07/3931,2217IM0200065,Nepal,JENY,SURYA
SCB,21-Jun,07/3923,2217IM0200062,Nepal,JENY,SURYA
SCB,22-Jun,07/3922,LC1812947374,Nepal,JENY,SURYA
SCB,20-Jun,07/3924,17ILC0510,Nepal,JENY ,SURYA
HSBC,23-Jun,06/260,0174MDC170005598,India,JENY,VIPIN
HSBC,22-Jun,02/5592,0208FLC170015,India,JENY,SANJEEV
HSBC,14-Jun,11/5549,493011711495,Sri Lanka,JENY,NAVDEEP
HSBC,23-Jun,06/276,003LC01171740003,India,JENY,VIPIN
HSBC,21-Jun,02/5590,49790NI00008017,India,JENY,SANJEEV
HSBC,23-Jun,11/5572,003IMLCU17001341,Sri Lanka,JENY,NAVDEEP
SCB,27-Jun,07/3862,HBLIFX09731517,Nepal,JENY,SURYA
SCB,27-Jun,13/1427,001USD170445U,Nepal,JENY,NAVDEEP
SCB,23-Jun,07/3934,17DC01USD15530,Nepal,JENY,SURYA
SCB,27-Jun,01/8337,006LC01171730004,India,JENY,SANJEEV
HSBC,27-Jun,13/1430,4335MDC170005653,India,JENY,NAVDEEP
HSBC,27-Jun,13/1415,DCU1700514125,Sri Lanka,JENY,NAVDEEP
HSBC,27-Jun,03/0924,0999817IM0039476,India,JENY,GAURAV
HSBC,28-Jun,03/0925,053417IML000030,India,JENY,GAURAV
SCB,28-Jun,11/5575,LCUCBG17000865,Sri Lanka,JENY,NAVDEEP
SCB,25-Jun,13/1432,17DC01USD15533,Nepal,JENY,NAVDEEP
SCB,27-Jun,07/3933,LC1813097374,Nepal,JENY,SURYA
SCB,22-Jun,08/11035,134117020051,Bangladesh,JENY,ANURAG
SCB,27-Jun,01/8350,529010756347S,India,JENY,SANJEEV
SCB,28-Jun,13/1422,035IMLCU17000191,Sri Lanka,JENY,NAVDEEP
HSBC,28-Jun,03/0925,053417IML000031,India,JENY,GAURAV
HSBC,28-Jun,13/1433,003LC01171790018,India,JENY,NAVDEEP
HSBC,29-Jun,11/5576,002IMLCU17000872,Sri Lanka,JENY,NAVDEEP
BTMU,15-Jun,6/61,001LM01171660004,India,JENY,VIPIN
HSBC,29-Jun,06/274,170142FLCU00103,India,JENY,SHEETAL
HSBC,29-Jun,03/0925,053417IML000032,India,JENY,GAURAV
HSBC,29-Jun,03/0925,053417IML000033,India,JENY,GAURAV
HSBC,28-Jun,03/0920,0424817IM0000013,India,JENY,GAURAV
SCB,29-Jun,02/5564,0103USDFLC170068,India,JENY,SANJEEV
SCB,29-Jun,07/3914,IUSD6217USD0367,Nepal,JENY,SURYA
SCB,27-Jun,07/3935,17DC01USD15534,Nepal,JENY,SURYA
SCB,28-Jun,07/3930,007LCIFU170081,Nepal,JENY,SURYA
SCB,28-Jun,13/1426,9917IM02000138,Nepal,JENY,NAVDEEP
SCB,30-Jun,13/1436,001USD170456U,Nepal,JENY,SURYA
SCB,23-Jun,07/3928,003LCIFU170028,Nepal,JENY,SURYA
SCB,29-Jun,07/3932,003ILUF171800001,India,JENY,SANJEEV
HSBC,1-Jul,02/5597,DPCNDH280702,India,JENY,SANJEEV
HSBC,30-Jun,11/5545,DB1003LC1705847,Sri Lanka,JENY,NAVDEEP
HSBC,30-Jun,06/252,2568MDC170005758,India,JENY,VIPIN
HSBC,3-Jul,06/260,0174MDC170005846,India,JENY,VIPIN
HSBC,3-Jul,06/260,0174MDC170005840,India,JENY,VIPIN
HSBC,3-Jul,13/1439,003LC01171840013,India,JENY,NAVDEEP
SCB,4-Jul,08/11059,676171014204,Bangladesh,JENY,ANURAG
SCB,29-Jun,07/3927,18017LU00092,Nepal,JENY,SURYA
SCB,2-Jul,07/3929,SR026LC03617,Nepal,JENY,SURYA
SCB,27-Jun,07/3936,003ILUF171780001,Nepal,JENY,SURYA
,,,,,,
